area,area_code,origin_year,R2_phy,R2_embed,flow_threshold,R2_diff
Detroit,19820,2019,0.4395851050066094,0.5779894268100614,0.950995,0.13840432180345197
Detroit,19820,2020,0.3652615878917732,0.5371805842087207,0.950995,0.17191899631694751
Detroit,19820,2021,0.38629564793242926,0.536367239583101,0.950995,0.1500715916506717
Dallas,19100,2019,0.46799757702983075,0.5882688303119611,0.950995,0.12027125328213034
Dallas,19100,2020,0.4577642181131809,0.5786150504578768,0.950995,0.12085083234469585
Dallas,19100,2021,0.4866191617098612,0.5860628089830151,0.950995,0.09944364727315391
Miami,33100,2019,0.5526800676688384,0.6065086341960233,0.950995,0.05382856652718493
Miami,33100,2020,0.49135459228703415,0.5823277886663415,0.950995,0.09097319637930734
Miami,33100,2021,0.519598919983385,0.597375588423677,0.950995,0.07777666844029196
Boston,14460,2019,0.32939775038792835,0.6140150898240788,0.950995,0.2846173394361505
Boston,14460,2020,0.31897058999971123,0.5880509244109889,0.950995,0.2690803344112777
Boston,14460,2021,0.3220064713018366,0.6002910916294928,0.950995,0.27828462032765616
Seattle,42660,2019,0.41452192899840046,0.6420613657085084,0.950995,0.2275394367101079
Seattle,42660,2020,0.34645882550053725,0.6201025622912807,0.950995,0.27364373679074344
Seattle,42660,2021,0.38170900721282214,0.6285170815418384,0.950995,0.24680807432901625
Philadelphia,37980,2019,0.44605144577369704,0.6390875580929245,0.950995,0.19303611231922746
Philadelphia,37980,2020,0.420641548697398,0.6195671203480912,0.950995,0.19892557165069324
Philadelphia,37980,2021,0.43945300143058924,0.6190023162498514,0.950995,0.17954931481926212
San Francisco,41860,2019,0.4429731632379417,0.6170800955984936,0.950995,0.1741069323605519
San Francisco,41860,2020,0.34860866931074574,0.5946752202139022,0.950995,0.24606655090315643
San Francisco,41860,2021,0.36598852475674865,0.5809235148590838,0.950995,0.21493499010233513
Washington,47900,2019,0.37885764371815633,0.5904834527761355,0.950995,0.21162580905797912
Washington,47900,2020,0.3396854125853487,0.5508113922332583,0.950995,0.21112597964790958
Washington,47900,2021,0.3696198834793629,0.5743832905792478,0.950995,0.20476340709988483
Los Angeles,31080,2019,0.3755339053773686,0.5349762830965981,0.950995,0.15944237771922948
Los Angeles,31080,2020,0.25651417196045084,0.45582701154597965,0.950995,0.1993128395855288
Los Angeles,31080,2021,0.3043824621067473,0.4719723369133272,0.950995,0.16758987480657989
New York,35620,2019,0.3475598051993158,0.5813915326792913,0.950995,0.23383172747997555
New York,35620,2020,0.3538415412421862,0.5578678385285244,0.950995,0.2040262972863382
New York,35620,2021,0.350879266452844,0.5489386899722686,0.950995,0.19805942351942457
Chicago,16980,2019,0.44411871650032164,0.6022140297915699,0.950995,0.15809531329124826
Chicago,16980,2020,0.39586606870717034,0.5636515605618593,0.950995,0.16778549185468894
Chicago,16980,2021,0.40395507231930955,0.5716938925026359,0.950995,0.16773882018332636
