CBG,x,y,color,TOWN,COUNTY,Bos_Neighborhood
250259813002,-2.0174987,-6.6537547,#662506,Boston,Suffolk,East Boston
250173324002,-0.85999835,0.13860224,#fdb462,Woburn,Middlesex,
250250701018,12.817724,-0.70623016,#662506,Boston,Suffolk,Chinatown
250214191001,12.709077,5.9214807,#7fc97f,Braintree,Norfolk,
250250606001,13.574804,0.18570283,#662506,Boston,Suffolk,South Boston
250250106001,11.455937,-0.9181892,#662506,Boston,Suffolk,South End
250250203032,12.11183,-2.0618176,#662506,Boston,Suffolk,Downtown
250173336003,-1.7988693,-0.48738024,#fdb462,Woburn,Middlesex,
250250810011,10.314505,-0.029509239,#662506,Boston,Suffolk,Mission Hill
250173682004,4.878461,0.59843093,#fdb462,Waltham,Middlesex,
250173826022,5.2612457,3.8760724,#fdb462,Framingham,Middlesex,
250214101002,8.784964,5.380367,#7fc97f,,,
250250701011,12.653181,-0.49381363,#662506,Boston,Suffolk,South Boston
250250303003,12.251197,-1.9403247,#662506,Boston,Suffolk,Downtown
250092103001,-5.9253078,-1.2973313,#386cb0,Peabody,Essex,
330150590001,-4.4841104,10.996882,#a6cee3,,,
250214024006,9.595682,3.4072857,#7fc97f,,,
250250203011,11.917328,-1.7269642,#662506,Boston,Suffolk,Fenway
330151075001,-3.4408813,12.096618,#a6cee3,,,
250092112002,-6.22557,-1.0701777,#386cb0,Peabody,Essex,
330151004001,-6.448112,9.8591175,#a6cee3,Methuen,Essex,
250250612001,13.496564,0.3598868,#662506,Boston,Suffolk,South Boston
250235301002,13.01318,10.844288,#ef3b2c,,,
250173524002,3.9410756,-3.3594227,#fdb462,Cambridge,Middlesex,
330151003012,-6.3620467,9.850687,#a6cee3,,,
250092114022,-6.059052,-0.99823695,#386cb0,Peabody,Essex,
250173214001,3.2312462,4.600988,#fdb462,Marlborough,Middlesex,
250173836001,5.0713468,3.966494,#fdb462,Framingham,Middlesex,
250214562001,14.776625,7.4230514,#7fc97f,Randolph,Norfolk,
250173424004,-1.2295369,-5.4247026,#fdb462,Boston,Suffolk,Charlestown
330151011002,-5.1230946,10.011717,#a6cee3,Haverhill,Essex,
250173703002,6.4655156,-0.7000257,#fdb462,Boston,Suffolk,Fenway
250173531022,4.3405414,-3.3927076,#fdb462,Boston,Suffolk,Fenway
250214123001,9.694695,4.3583426,#7fc97f,,,
250173501031,2.7041116,-3.8355772,#fdb462,Boston,Suffolk,Charlestown
330150037011,-5.6336226,11.078616,#a6cee3,,,
330150033021,-5.5164714,11.101394,#a6cee3,,,
330151004003,-6.3609934,10.043208,#a6cee3,,,
250235031011,12.663554,9.145638,#ef3b2c,,,
250173184001,0.30171147,3.0030746,#fdb462,,,
250092526021,-6.657006,9.415482,#386cb0,Methuen,Essex,
250173836002,5.1358953,3.9672117,#fdb462,Framingham,Middlesex,
250235105024,15.440629,8.149105,#ef3b2c,Brockton,Plymouth,
330170846001,-4.2055063,12.848562,#fb9a99,,,
250250001001,7.803664,-1.1460316,#662506,Boston,Suffolk,Brighton
250250103002,10.226929,-0.11025813,#662506,Boston,Suffolk,Jamaica Plain
250250702003,12.31924,-0.9875548,#662506,Boston,Suffolk,Chinatown
250092072001,-4.353284,-3.0002823,#386cb0,Lynn,Essex,
330151002001,-6.18714,10.26589,#a6cee3,,,
250250303002,12.25812,-2.0942783,#662506,Boston,Suffolk,Downtown
250235012023,12.543188,7.492948,#ef3b2c,Weymouth,Norfolk,
250092114011,-6.255103,-0.87718755,#386cb0,Peabody,Essex,
250250107021,11.525494,-1.1200371,#662506,Boston,Suffolk,South End
250251604001,-1.1968774,-5.7773933,#662506,Chelsea,Suffolk,
250235451002,14.233604,11.858433,#ef3b2c,,,
250173523002,3.7868135,-3.5330827,#fdb462,Cambridge,Middlesex,
330151071003,-3.3487525,11.962851,#a6cee3,,,
250250701012,12.425896,-1.1884825,#662506,Boston,Suffolk,Chinatown
250173335013,-2.0041804,-0.8559902,#fdb462,Woburn,Middlesex,
250092091005,-3.4721653,-1.5361305,#386cb0,Lynn,Essex,
250173521021,3.5216033,-3.6920042,#fdb462,Boston,Suffolk,Fenway
250173344003,-2.8617282,-0.8529951,#fdb462,,,
250173546004,4.484193,-1.61276,#fdb462,Cambridge,Middlesex,
330150691001,-2.9824736,11.602832,#a6cee3,,,
250173586002,-0.5300523,0.5182869,#fdb462,,,
250235041013,12.651138,9.050435,#ef3b2c,,,
250092682004,-3.47633,9.108552,#386cb0,Newburyport,Essex,
250214172001,12.772585,4.3896923,#7fc97f,Quincy,Norfolk,
250092501001,-7.575374,9.334886,#386cb0,Lawrence,Essex,
250250702001,12.422209,-0.8349907,#662506,Boston,Suffolk,Chinatown
330151064002,-4.182412,11.013109,#a6cee3,,,
330151072003,-3.184081,11.515793,#a6cee3,,,
250214571001,14.948019,7.5268188,#7fc97f,Brockton,Plymouth,
330170815001,-3.4561067,12.412588,#fb9a99,,,
250214135002,9.441991,4.48873,#7fc97f,,,
250173172032,-0.6645072,2.6591573,#fdb462,Lowell,Middlesex,
250235306001,13.011682,10.836275,#ef3b2c,,,
250173151002,-1.6799855,2.1451066,#fdb462,Lowell,Middlesex,
250235452003,14.203105,11.985956,#ef3b2c,,,
250235091011,13.033376,10.679626,#ef3b2c,,,
250173601001,-0.15188144,0.36882254,#fdb462,,,
250173549003,3.0879216,-2.2406662,#fdb462,Cambridge,Middlesex,
330170815002,-3.5117614,12.435497,#fb9a99,,,
250250701013,12.203834,-1.5008665,#662506,Boston,Suffolk,Downtown
250092047013,-5.5592833,-2.3959484,#386cb0,Lynn,Essex,
250250406001,3.4362674,-4.612449,#662506,Boston,Suffolk,Charlestown
330150630022,-3.6199808,9.632091,#a6cee3,,,
250235117022,15.233346,8.602171,#ef3b2c,Brockton,Plymouth,
330150039011,-5.752203,10.949148,#a6cee3,,,
250173413002,-0.7518065,-3.9432008,#fdb462,Malden,Middlesex,
330151074002,-3.3566191,12.01479,#a6cee3,,,
250092084004,-2.4907382,-3.796183,#386cb0,Melrose,Middlesex,
250214431013,8.070891,5.5675583,#7fc97f,Franklin,Norfolk,
250173825001,5.2593427,3.7483475,#fdb462,Framingham,Middlesex,
250173591004,-0.72183335,0.46892396,#fdb462,,,
250173241012,0.5590481,3.1554496,#fdb462,,,
250092171001,-6.9956746,-0.73464745,#386cb0,Beverly,Essex,
250214112001,9.270026,4.7052813,#7fc97f,,,
250173116004,-1.0984523,2.4530265,#fdb462,Lowell,Middlesex,
250214198002,12.594407,6.352502,#7fc97f,Braintree,Norfolk,
250250703001,11.901202,-0.903191,#662506,Boston,Suffolk,South End
250173101003,-1.7511994,2.7662332,#fdb462,Lowell,Middlesex,
250173398021,0.96426207,-3.5852644,#fdb462,Medford,Middlesex,
250214025001,9.624188,3.5073977,#7fc97f,,,
250250303001,12.223811,-2.2913244,#662506,Boston,Suffolk,South Boston Waterfront
250214180031,12.473343,5.226176,#7fc97f,Braintree,Norfolk,
330170802031,-4.0682597,12.055068,#fb9a99,,,
250092083004,-2.6686296,-3.600652,#386cb0,,,
250173515001,3.4260604,-3.7492926,#fdb462,Boston,Suffolk,Charlestown
250173334001,-1.6634946,-0.6253704,#fdb462,Woburn,Middlesex,
330151003021,-6.3867736,9.898992,#a6cee3,,,
330170813001,-3.4555626,12.401929,#fb9a99,,,
250214035001,6.7061677,2.384971,#7fc97f,Newton,Middlesex,
250250907004,12.942454,0.7836343,#662506,Boston,Suffolk,Dorchester
330150630023,-3.6015184,9.472926,#a6cee3,,,
250173311022,-2.151938,0.34103134,#fdb462,Woburn,Middlesex,
250214421021,8.224263,5.555763,#7fc97f,Franklin,Norfolk,
250173536005,4.031474,-2.3263242,#fdb462,Cambridge,Middlesex,
250173336001,-1.5748692,-0.22972977,#fdb462,Woburn,Middlesex,
250250106002,11.496125,-0.82949764,#662506,Boston,Suffolk,South End
250173184002,-0.08042055,2.89517,#fdb462,,,
250214222006,12.634714,7.385194,#7fc97f,Weymouth,Norfolk,
330151003013,-6.202989,10.284022,#a6cee3,,,
250214401005,8.636496,5.4873805,#7fc97f,,,
250250104051,11.0239,-0.4828253,#662506,Boston,Suffolk,Roxbury
250092532011,-6.887237,8.486912,#386cb0,Lawrence,Essex,
250235011024,12.200888,7.5272646,#ef3b2c,Weymouth,Norfolk,
250173322004,-1.1144278,-0.24117447,#fdb462,Woburn,Middlesex,
250214223024,12.463832,7.3270907,#7fc97f,Weymouth,Norfolk,
250173741001,6.831059,1.3250854,#fdb462,Newton,Middlesex,
250250704021,12.136659,-0.56503224,#662506,Boston,Suffolk,South Boston
250251703002,-2.1214192,-5.276193,#662506,Revere,Suffolk,
250173736001,7.8307652,0.7074298,#fdb462,Newton,Middlesex,
250092215002,-7.7617383,0.038331304,#386cb0,Gloucester,Essex,
250092609004,-5.7299213,9.416201,#386cb0,Haverhill,Essex,
250173131011,-0.9434867,3.0530753,#fdb462,,,
250214177013,12.514815,5.081019,#7fc97f,Quincy,Norfolk,
250259812021,13.78321,-0.05188504,#662506,Boston,Suffolk,South Boston
330170844001,-4.1165705,12.857869,#fb9a99,,,
330150034003,-5.457116,11.11853,#a6cee3,,,
250250801001,12.044606,0.6645698,#662506,Boston,Suffolk,Dorchester
250173172033,-0.79971176,2.7645187,#fdb462,Lowell,Middlesex,
250173302002,-2.6965435,0.137145,#fdb462,,,
250173351006,-2.862674,-1.2885518,#fdb462,,,
250173684002,5.191448,0.72825354,#fdb462,Newton,Middlesex,
250173834004,5.2740774,4.0337687,#fdb462,Framingham,Middlesex,
250092541005,-7.1222544,8.470154,#386cb0,Lawrence,Essex,
250173591003,-0.27130178,0.5927503,#fdb462,,,
250250711011,11.7411585,-0.21429391,#662506,Boston,Suffolk,South End
330170830023,-3.4631376,12.454224,#fb9a99,,,
250173101001,-1.6361634,2.515608,#fdb462,Lowell,Middlesex,
250092103002,-5.8595138,-1.149527,#386cb0,Peabody,Essex,
250173222001,3.179619,4.65271,#fdb462,,,
250092111004,-6.067623,-1.4021122,#386cb0,Peabody,Essex,
250173214002,3.0267556,4.485661,#fdb462,Marlborough,Middlesex,
250173302001,-2.7169359,0.25247568,#fdb462,,,
250092213004,-7.855241,-0.032081224,#386cb0,Gloucester,Essex,
250214041001,6.1522756,2.512935,#7fc97f,Newton,Middlesex,
330170814001,-3.4215856,12.346378,#fb9a99,,,
250214412021,8.387707,5.6373644,#7fc97f,Franklin,Norfolk,
250250102034,10.466609,-0.7800909,#662506,Boston,Suffolk,Jamaica Plain
250092683001,-3.3668172,9.007659,#386cb0,Newburyport,Essex,
330150034001,-5.471465,11.05251,#a6cee3,,,
330151071001,-3.2383516,11.872408,#a6cee3,,,
250092671023,-3.5253634,9.242441,#386cb0,Amesbury,Essex,
250173173011,-0.6430468,2.8486118,#fdb462,Lowell,Middlesex,
250235241013,14.35266,9.524417,#ef3b2c,Bridgewater,Plymouth,
330151011001,-4.951931,10.152653,#a6cee3,,,
250092121004,-6.0440187,-0.7459845,#386cb0,,,
250173836004,4.977781,4.0404987,#fdb462,Framingham,Middlesex,
250173398011,0.4966593,-3.7858062,#fdb462,Everett,Middlesex,
250214572001,6.7193046,2.4409778,#7fc97f,,,
250173840011,5.1833777,4.140788,#fdb462,Framingham,Middlesex,
250250712011,11.762562,-0.3362377,#662506,Boston,Suffolk,Roxbury
250173171012,-0.55492693,2.7588909,#fdb462,,,
250214177014,12.571295,5.050337,#7fc97f,Quincy,Norfolk,
250250711012,11.736162,-0.12217936,#662506,Boston,Suffolk,Roxbury
250092084002,-2.6983137,-3.5362146,#386cb0,,,
250173344004,-2.7842474,-0.83511144,#fdb462,,,
250235303001,12.97816,10.779236,#ef3b2c,,,
250214422021,8.133813,5.631819,#7fc97f,Franklin,Norfolk,
250173835022,5.0606904,4.313567,#fdb462,Framingham,Middlesex,
