"","Full","No.Demographics","No.POI","No.PhyDist","No.Admin","LR.Stat..No.Demo.","LR.Stat..No.POI.","LR.Stat..No.PhyDist.","LR.Stat..No.Admin.","p_value..No.Demo.","p_value..No.POI.","p_value..No.PhyDist.","p_value..No.Admin."
"1",-14333.123601819,-14405.97013465,-15405.9589113949,-14404.0789983019,-14335.5039698219,145.693065662115,2145.67061915188,141.910792965853,4.7607360058355,2.23750005536504e-31,0,1.10033826664045e-29,0.0291160951870544
"2",-33597.0420735786,-33861.6260091098,-37412.9965603353,-33932.5748329098,-33745.1571798318,529.167871062411,7631.90897351333,671.065518662479,296.230212506474,2.27620824521411e-114,0,6.41211748585003e-144,2.18322328579998e-66
"3",-47342.0075051514,-47817.1988773123,-51688.5432529585,-47812.3943120199,-47888.4244611514,950.382744321876,8693.07149561429,940.773613737081,1092.83391200018,1.04316931585363e-205,0,2.43771449810437e-202,1.19233330083488e-239
"4",-60071.473841784,-60921.6003596157,-63980.4581565732,-60443.2367780692,-60750.8007408096,1700.25303566338,7817.96862957832,743.525872570273,1358.65379805113,0,0,1.3087024614972e-159,2.02835019482383e-297
"5",-72605.1405759734,-73477.4287492135,-75781.0160440612,-73082.3615256311,-73238.0721896215,1744.5763464802,6351.75093617561,954.441899315338,1265.86322729618,0,0,2.66197218120093e-205,2.96276382449816e-277
"6",-82809.6065584787,-83625.8264755308,-85275.516365715,-83496.2564447051,-83698.1618201605,1632.43983410412,4931.81961447242,1373.29977245265,1777.11052336355,0,0,4.25706996511133e-296,0
"7",-92164.1003260114,-93061.2800599239,-94635.5676631385,-92925.7832845294,-92999.5779302105,1794.35946782507,4942.93467425421,1523.36591703616,1670.95520839837,0,0,0,0
"8",-101634.507906818,-102657.718044507,-103974.261906887,-102473.510538333,-102167.869022369,2046.42027537865,4679.50800013851,1678.00526302998,1066.72223110212,0,0,0,5.64571385463587e-234
"9",-110747.477330654,-111790.473193273,-113343.361381031,-111563.822779539,-111051.677114627,2085.99172523883,5191.76810075383,1632.69089776996,608.39956794749,0,0,0,2.49371671181602e-134
"10",-118526.952222207,-119486.918238121,-121426.897972186,-119133.911780007,-118707.518411945,1919.93203182792,5799.891499958,1213.9191156,361.132379475137,0,0,1.5299879115458e-261,1.59592562574656e-80
"11",-125316.684633615,-126235.870627349,-128421.226684486,-125868.752573873,-125449.710263949,1838.37198746859,6209.08410174341,1104.13588051577,266.051260668202,0,0,9.6098895173792e-238,8.23271128905736e-60
"12",-132835.029763534,-133626.616928152,-136005.741010679,-133287.646664489,-132947.706713418,1583.17432923504,6341.42249428952,905.233801908966,225.35389976739,0,0,1.22367680091367e-194,6.14644089052728e-51
"13",-139261.143863887,-139981.097650157,-142901.764276113,-139585.374825003,-139330.71839075,1439.9075725397,7281.24082445173,648.461922231363,139.149053726927,6.44840143806274e-312,0,5.01735242910103e-139,4.0860148745702e-32
"14",-145212.180500217,-145735.830827341,-148953.294289501,-145421.207742051,-145263.224693033,1047.30065424845,7482.22757856909,418.054483667773,102.088385631854,9.86148502527158e-227,0,3.49058271004607e-89,5.30989562278032e-24
"15",-149467.818128372,-149823.347078362,-153856.864672419,-149597.704768573,-149492.96444047,711.057899980806,8778.09308809525,259.773280402645,50.2926241970854,8.39925749948944e-154,0,5.10321901459019e-55,1.32446416137522e-12
"16",-154142.004659121,-154433.289726572,-158359.596337178,-154236.607132943,-154193.673145912,582.570134902024,8435.18335611309,189.204947643913,103.336973581405,6.0514616497886e-126,0,7.85482972601659e-40,2.82727412608972e-24
"17",-158047.634064325,-158255.635914589,-162289.797037645,-158118.144701234,-158124.079525156,416.003700527537,8484.32594664133,141.021273817634,152.890921663202,7.55915225001976e-90,0,1.70604358123309e-29,4.04680119993943e-35
"18",-160975.552000927,-161157.125323794,-165114.808697088,-161041.225655705,-161081.819339782,363.14664573397,8278.513392322,131.347309554403,212.53467771021,2.12265746542148e-78,0,2.00561877214333e-27,3.84491179052829e-48
"19",-163020.218874765,-163127.166713178,-167402.280170914,-163121.269592824,-163148.26383314,213.895676827407,8764.12259229808,202.101436119585,256.089916750032,4.18987766985917e-46,0,1.32753756533974e-42,1.22136463893303e-57
"20",-164323.466628933,-164482.574626865,-168933.326522465,-164417.243635432,-164509.787812175,318.21599586407,9219.71978706436,187.554012998939,372.64236648439,1.13483818239507e-68,0,1.77773300458616e-39,4.97593243289105e-83
