taxonomy,barrier_visit_size,barrier_visit_portion,non_barrier_visit_size,non_barrier_visit_portion,aca_size,barrier_visits_relative_difference,area,area_code
Transportation,22616,0.11829318046300462,128095,0.08507237078921817,150711,0.3905005745766375,Boston,14460
Food,35949,0.18803155042733255,248856,0.16527397560499377,284805,0.13769605734377435,Boston,14460
Grocery,13497,0.07059617335997406,97105,0.0644908276317345,110602,0.09466998567770371,Boston,14460
Shopping,27139,0.14195077045390353,200421,0.13310659764975913,227560,0.06644428571013367,Boston,14460
Service,4864,0.02544119339282165,36751,0.024407624800925537,41615,0.042346135698419995,Boston,14460
Financial Service,9820,0.051363593568566734,77784,0.05165907560379832,87604,-0.005719847515232393,Boston,14460
Automotive Service,11712,0.061259715669557395,95612,0.06349927410046237,107324,-0.03526903988479873,Boston,14460
City / Outdoors,3341,0.017475128932034772,27408,0.018202611644411504,30749,-0.039965842626768396,Boston,14460
Coffee / Tea,8168,0.04272279350998504,68097,0.045225600012751395,76265,-0.05534048198499709,Boston,14460
Entertainment,6458,0.03377862395782118,53915,0.035806837668142376,60373,-0.05664319561304673,Boston,14460
Arts / Museum,740,0.003870576297427636,6394,0.004246479088381755,7134,-0.08852105076475669,Boston,14460
Personal Care Service,12380,0.06475369535426234,109510,0.07272942210958493,121890,-0.10966300190458234,Boston,14460
Office,7947,0.04156685112926679,72125,0.04790073572873539,80072,-0.13222938026125017,Boston,14460
School,721,0.0037711966357369263,6560,0.004356725495743559,7281,-0.13439654634626014,Boston,14460
Sports,10341,0.054088688502296194,102153,0.06784338103150789,112494,-0.2027418492427983,Boston,14460
Neighborhood Service,2974,0.015555532308851067,31245,0.020750897578431023,34219,-0.2503682190104462,Boston,14460
Industry,4337,0.02268471540803197,46573,0.030930758614826945,50910,-0.2665968626725553,Boston,14460
Public Administration,3688,0.019290115385017733,41601,0.0276286794738457,45289,-0.3018082748660337,Boston,14460
Health,874,0.00457146443777264,10462,0.006948180203730048,11336,-0.34206305770271994,Boston,14460
College,3611,0.018887366229744854,44748,0.029718712268831216,48359,-0.36446215909718954,Boston,14460
Agriculture,9,4.7074576590336115e-05,303,0.0002012329001844967,312,-0.7660691837807007,Boston,14460
Service,4277,0.02401014971959154,28322,0.020028286542677323,32599,0.1988119736768023,Seattle,42660
Transportation,17714,0.09944255135207962,121916,0.08621455342620749,139630,0.15343114822480874,Seattle,42660
Arts / Museum,500,0.002806891479961602,3538,0.002501944699809066,4038,0.12188390102139653,Seattle,42660
Food,38044,0.21357075892731836,276296,0.1953864648893289,314340,0.0930683404722504,Seattle,42660
Grocery,9174,0.05150084487433547,70394,0.049780072130683826,79568,0.0345675020143448,Seattle,42660
Shopping,28150,0.15802799032183817,219224,0.15502722579732692,247374,0.019356371173372296,Seattle,42660
Automotive Service,10726,0.06021343602813628,85838,0.06070150625839757,96564,-0.00804049619763379,Seattle,42660
Sports,8351,0.046880701498318675,67587,0.04779506399830281,75938,-0.019130898119868636,Seattle,42660
Financial Service,8150,0.04575233112337411,67832,0.0479683190722014,75982,-0.04619690645177307,Seattle,42660
Personal Care Service,11625,0.06526022690910724,97122,0.06868113994766989,108747,-0.0498086234615375,Seattle,42660
Public Administration,3668,0.02059135589699831,30790,0.021773566225868044,34458,-0.05429566827069469,Seattle,42660
School,811,0.004552777980497718,6855,0.004847606251325931,7666,-0.06081935197347584,Seattle,42660
Coffee / Tea,10001,0.05614344338219196,85320,0.060335195530726256,95321,-0.06947441060996658,Seattle,42660
City / Outdoors,2313,0.01298467998630237,19858,0.014042854112156142,22171,-0.07535320935491081,Seattle,42660
Entertainment,7141,0.040088024116811595,63079,0.0446071706385687,70220,-0.1013098669353782,Seattle,42660
Office,7291,0.040930091560800075,67613,0.04781345025104307,74904,-0.14396281075936013,Seattle,42660
Health,1239,0.006955477087344849,11821,0.008359380524715366,13060,-0.16794347777562377,Seattle,42660
Industry,3956,0.02220812538945619,39088,0.02764160950427834,43044,-0.19656902084450467,Seattle,42660
Agriculture,19,0.00010666187623854086,192,0.00013577540485114207,211,-0.21442417089103835,Seattle,42660
Neighborhood Service,2715,0.015241420736191497,27778,0.01964358956226575,30493,-0.2241020569138024,Seattle,42660
College,2268,0.012732059753105825,23637,0.01671522523159607,25905,-0.238295651018871,Seattle,42660
Food,60791,0.24800910589272018,392880,0.2100514382225397,453671,0.18070653546283325,Detroit,19820
Coffee / Tea,9435,0.03849197930775633,61333,0.03279139905442636,70768,0.17384376445385233,Detroit,19820
Shopping,46035,0.1878090373537427,332067,0.17753805471452883,378102,0.057852287813612964,Detroit,19820
Transportation,13170,0.05372966269031805,95768,0.051201909325229535,108938,0.04936834189194924,Detroit,19820
Financial Service,13100,0.053444083617552506,95270,0.05093565597500854,108370,0.04924698807795304,Detroit,19820
City / Outdoors,1867,0.007616801840761109,13764,0.00735885765550559,15631,0.03505220474845518,Detroit,19820
Service,5437,0.022181334551804044,40676,0.02174723147307072,46113,0.019961303086825883,Detroit,19820
Personal Care Service,14590,0.059522838166419165,113080,0.06045768843973933,127670,-0.01546288482815498,Detroit,19820
Grocery,12630,0.05152662412898383,98557,0.05269303501552343,111187,-0.02213595945262922,Detroit,19820
Sports,12360,0.050425104848316714,100697,0.05383717591807951,113057,-0.06337760128716112,Detroit,19820
Entertainment,8442,0.034440836175525055,68929,0.03685256461321889,77371,-0.0654426215110347,Detroit,19820
Automotive Service,19478,0.07946441684753341,159720,0.08539354437208317,179198,-0.06943297140489821,Detroit,19820
Office,7696,0.03139737920005222,71439,0.03819452426995523,79135,-0.17796124444073297,Detroit,19820
Health,1518,0.006192986177972878,14331,0.007662001530154796,15849,-0.19172736345724004,Detroit,19820
College,3798,0.01549470454805072,36215,0.019362178871994692,40013,-0.19974375557173776,Detroit,19820
School,775,0.0031617683056185644,7658,0.004094313566249768,8433,-0.22776596016444797,Detroit,19820
Public Administration,4077,0.0166329411380734,41731,0.022311282245125238,45808,-0.25450536839013316,Detroit,19820
Neighborhood Service,2119,0.00864488650271708,23204,0.012405909113510005,25323,-0.3031638049562349,Detroit,19820
Arts / Museum,400,0.00163188041580313,4529,0.0024214084802226692,4929,-0.3260614930806451,Detroit,19820
Industry,7381,0.030112273372607256,98291,0.052550819370626264,105672,-0.42698755731601834,Detroit,19820
Agriculture,17,6.935491767163302e-05,260,0.00013900777320774872,277,-0.5010716590072894,Detroit,19820
City / Outdoors,5624,0.012286638717330847,33991,0.009202739677071584,39615,0.33510662568699257,Dallas,19100
School,1632,0.003565397294929577,11204,0.0030333763449710226,12836,0.1753890350073382,Dallas,19100
Arts / Museum,989,0.002160648238165044,6875,0.0018613408043266495,7864,0.16080205900104927,Dallas,19100
Food,126461,0.27627678144245665,912679,0.24709915112029704,1039140,0.11808065786496717,Dallas,19100
Personal Care Service,33510,0.07320861725066796,255546,0.06918664686290298,289056,0.05813217680190131,Dallas,19100
Entertainment,13735,0.03000657588594224,107737,0.029168767161562217,121472,0.028722802021062598,Dallas,19100
